,id,zipcode,number,street,street2,city,state,latitude,longitude
8194,191025713,57103,4100,S ASH GROVE AVE,,SIOUX FALLS,SD,43.507343,-96.706294
8221,191016831,57103,4101,S ASH GROVE AVE,,SIOUX FALLS,SD,43.507306,-96.706931
8536,191023601,57103,4200,S ASH GROVE AVE,,SIOUX FALLS,SD,43.507088,-96.706243
8568,190997496,57103,4201,S ASH GROVE AVE,,SIOUX FALLS,SD,43.506787,-96.7067
8606,191020215,57103,4204,S ASH GROVE AVE,,SIOUX FALLS,SD,43.506901,-96.706099
8648,191030404,57103,4205,S ASH GROVE AVE,,SIOUX FALLS,SD,43.506598,-96.706558
8667,190988139,57103,4208,S ASH GROVE AVE,,SIOUX FALLS,SD,43.506675,-96.705938
8699,190991271,57103,4209,S ASH GROVE AVE,,SIOUX FALLS,SD,43.506431,-96.706427
8755,191030104,57103,4213,S ASH GROVE AVE,,SIOUX FALLS,SD,43.506197,-96.706122
8905,191023218,57103,4301,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.505875,-96.70521
8927,190991057,57103,4304,S ASH GROVE AVE,,SIOUX FALLS,SD,43.50634,-96.705009
8931,190993282,57103,4304,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.50546,-96.704896
8994,191031322,57103,4305,S ASH GROVE AVE,,SIOUX FALLS,SD,43.505964,-96.705441
8996,191032225,57103,4305,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.505695,-96.705393
9011,190981706,57103,4308,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.50523,-96.704768
9037,191029467,57103,4308,S ASH GROVE AVE,,SIOUX FALLS,SD,43.506219,-96.704709
9072,191032468,57103,4309,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.505528,-96.705538
9095,191000608,57103,4312,S ASH GROVE AVE,,SIOUX FALLS,SD,43.506105,-96.704406
9112,190990300,57103,4313,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.50526,-96.705402
9119,191031602,57103,4313,S ASH GROVE AVE,,SIOUX FALLS,SD,43.505635,-96.70469
9138,191029122,57103,4316,S ASH GROVE AVE,,SIOUX FALLS,SD,43.505902,-96.704184
9143,190996877,57103,4317,S ASH GROVE AVE,,SIOUX FALLS,SD,43.505443,-96.704472
9145,191020708,57103,4317,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.505032,-96.705296
9154,191025470,57103,4320,S ASH GROVE AVE,,SIOUX FALLS,SD,43.505707,-96.703994
9160,191022500,57103,4321,S ASH GROVE AVE,,SIOUX FALLS,SD,43.505287,-96.704284
9166,191027587,57103,4325,S ASH GROVE AVE,,SIOUX FALLS,SD,43.505129,-96.704093
9182,190994505,57103,4400,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.505026,-96.704617
9211,191024475,57103,4401,S ASH GROVE AVE,,SIOUX FALLS,SD,43.504934,-96.703994
9212,191024804,57103,4401,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.504856,-96.705186
9244,191018771,57103,4404,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.504814,-96.704463
9251,191027124,57103,4404,S ASH GROVE AVE,,SIOUX FALLS,SD,43.504884,-96.703238
9280,191025028,57103,4405,S ASH GROVE AVE,,SIOUX FALLS,SD,43.504789,-96.703788
9286,191029111,57103,4405,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.504658,-96.705032
9316,191021926,57103,4408,S ASH GROVE AVE,,SIOUX FALLS,SD,43.504689,-96.703175
9321,191031536,57103,4408,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.504567,-96.704337
9329,190981074,57103,4409,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.50444,-96.704945
9351,191023809,57103,4409,S ASH GROVE AVE,,SIOUX FALLS,SD,43.504557,-96.703717
9371,190992553,57103,4412,S ASH GROVE AVE,,SIOUX FALLS,SD,43.504434,-96.703056
9401,191047042,57103,4413,S ASH GROVE AVE,,SIOUX FALLS,SD,43.504302,-96.703728
9416,191016730,57103,4416,S ASH GROVE AVE,,SIOUX FALLS,SD,43.50424,-96.703127
9431,190989542,57103,4417,S ASH GROVE AVE,,SIOUX FALLS,SD,43.504074,-96.703712
9447,191027286,57103,4420,S ASH GROVE AVE,,SIOUX FALLS,SD,43.504018,-96.703058
9455,190990740,57103,4421,S ASH GROVE AVE,,SIOUX FALLS,SD,43.503808,-96.703707
9462,190998124,57103,4424,S ASH GROVE AVE,,SIOUX FALLS,SD,43.503814,-96.703108
9498,190982786,57103,4500,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.50438,-96.704144
9507,191000700,57103,4500,S ASH GROVE AVE,,SIOUX FALLS,SD,43.50351,-96.703123
9517,190988218,57103,4501,S ASH GROVE AVE,,SIOUX FALLS,SD,43.503346,-96.703724
9522,191016592,57103,4501,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.504271,-96.704812
9544,191027859,57103,4504,S ASH GROVE AVE,,SIOUX FALLS,SD,43.50331,-96.70311
9545,191029750,57103,4504,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.504125,-96.704128
9549,190992984,57103,4505,S ASH GROVE AVE,,SIOUX FALLS,SD,43.503093,-96.703736
9561,191117631,57103,4505,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.504068,-96.704736
9573,191021230,57103,4508,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.503846,-96.70407
9576,191046446,57103,4508,S ASH GROVE AVE,,SIOUX FALLS,SD,43.503143,-96.703139
9582,191021040,57103,4509,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.503843,-96.704664
9601,190981761,57103,4513,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.503614,-96.704677
9613,190981191,57103,4517,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.503436,-96.704449
9618,191027343,57103,4521,S MOUNTAIN ASH DR,,SIOUX FALLS,SD,43.503354,-96.704103
9662,190981667,57103,4605,S ASH GROVE AVE,,SIOUX FALLS,SD,43.502324,-96.70375
9733,191027385,57103,4701,S ASH GROVE AVE,,SIOUX FALLS,SD,43.501862,-96.703686
9746,190991171,57103,4705,S ASH GROVE AVE,,SIOUX FALLS,SD,43.501565,-96.703672
9766,191029290,57103,4708,S ASH GROVE AVE,,SIOUX FALLS,SD,43.501524,-96.703182
9804,191019377,57103,4801,S ASH GROVE AVE,,SIOUX FALLS,SD,43.500983,-96.703698
9823,191116836,57103,4804,S ASH GROVE AVE,,SIOUX FALLS,SD,43.500914,-96.703114
9826,190990442,57103,4805,S ASH GROVE AVE,,SIOUX FALLS,SD,43.500653,-96.70373
9837,190991497,57103,4808,S ASH GROVE AVE,,SIOUX FALLS,SD,43.500681,-96.703153
